#Temperatur, Messreihe #2
#Zeit ( s )	Temperatur ( °C )
263,6000	25,1
263,8000	25,2
264,0000	25,3
264,2000	25,3
264,4000	25,4
264,6000	25,5
264,8000	25,5
265,0000	25,6
265,2000	25,7
265,4000	25,7
265,6000	25,8
265,8000	25,9
266,0000	25,9
266,2000	26,0
266,4000	26,1
266,6000	26,1
266,8000	26,2
267,0000	26,3
267,2000	26,3
267,4000	26,4
267,6000	26,5
267,8000	26,5
268,0000	26,6
268,2000	26,7
268,4000	26,7
268,6000	26,8
268,8000	26,9
269,0000	26,9
269,2000	27,0
269,4000	27,1
269,6000	27,1
269,8000	27,2
270,0000	27,3
270,2000	27,3
270,4000	27,4
270,6000	27,5
270,8000	27,5
271,0000	27,6
271,2000	27,7
271,4000	27,8
271,6000	27,8
271,8000	27,9
272,0000	28,0
272,2000	28,0
272,4000	28,1
272,6000	28,2
272,8000	28,2
273,0000	28,3
273,2000	28,4
273,4000	28,4
273,6000	28,5
273,8000	28,6
274,0000	28,6
274,2000	28,7
274,4000	28,8
274,6000	28,8
274,8000	28,9
275,0000	29,0
275,2000	29,0
275,4000	29,1
275,6000	29,2
275,8000	29,2
276,0000	29,3
276,2000	29,4
276,4000	29,4
276,6000	29,5
276,8000	29,6
277,0000	29,6
277,2000	29,7
277,4000	29,7
277,6000	29,8
277,8000	29,9
278,0000	29,9
278,2000	30,0
278,4000	30,1
278,6000	30,1
278,8000	30,2
279,0000	30,3
279,2000	30,3
279,4000	30,4
279,6000	30,5
279,8000	30,5
280,0000	30,6
280,2000	30,7
280,4000	30,7
280,6000	30,8
280,8000	30,9
281,0000	30,9
281,2000	31,0
281,4000	31,0
281,6000	31,1
281,8000	31,2
282,0000	31,2
282,2000	31,3
282,4000	31,4
282,6000	31,4
282,8000	31,5
283,0000	31,6
283,2000	31,6
283,4000	31,7
283,6000	31,7
283,8000	31,8
284,0000	31,9
284,2000	31,9
284,4000	32,0
284,6000	32,1
284,8000	32,1
285,0000	32,2
285,2000	32,2
285,4000	32,3
285,6000	32,4
285,8000	32,4
286,0000	32,5
286,2000	32,6
286,4000	32,6
286,6000	32,7
286,8000	32,7
287,0000	32,8
287,2000	32,9
287,4000	32,9
287,6000	33,0
287,8000	33,1
288,0000	33,1
288,2000	33,2
288,4000	33,2
288,6000	33,3
288,8000	33,3
289,0000	33,4
289,2000	33,5
289,4000	33,5
289,6000	33,6
289,8000	33,6
290,0000	33,7
290,2000	33,8
290,4000	33,8
290,6000	33,9
290,8000	33,9
291,0000	34,0
291,2000	34,1
291,4000	34,1
291,6000	34,2
291,8000	34,2
292,0000	34,3
292,2000	34,4
292,4000	34,4
292,6000	34,5
292,8000	34,5
293,0000	34,6
293,2000	34,6
293,4000	34,7
293,6000	34,8
293,8000	34,8
294,0000	34,9
294,2000	34,9
294,4000	35,0
294,6000	35,1
294,8000	35,1
295,0000	35,2
295,2000	35,2
295,4000	35,3
295,6000	35,4
295,8000	35,4
296,0000	35,5
296,2000	35,5
296,4000	35,6
296,6000	35,6
296,8000	35,7
297,0000	35,8
297,2000	35,8
297,4000	35,9
297,6000	35,9
297,8000	36,0
298,0000	36,0
298,2000	36,1
298,4000	36,2
298,6000	36,2
298,8000	36,3
299,0000	36,3
299,2000	36,4
299,4000	36,4
299,6000	36,5
